iter	Logloss
301	0.5106332615
302	0.5102379812
303	0.5096370035
304	0.5093147431
305	0.5090573788
306	0.5087993764
307	0.5084794189
308	0.5080868546
309	0.5077350118
310	0.5072063593
311	0.5068682668
312	0.5065750512
313	0.5062105657
314	0.505891589
315	0.5054437514
316	0.5050487078
317	0.5045810882
318	0.5042694784
319	0.5038537649
320	0.5034472581
321	0.5030443758
322	0.5026043811
323	0.5021862795
324	0.5019607484
325	0.5014425918
326	0.5009641351
327	0.5004931066
328	0.5000854715
329	0.4998038324
330	0.4995155018
331	0.4989980884
332	0.4986241828
333	0.4983442512
334	0.4979832246
335	0.497583499
336	0.4971220481
337	0.4968652262
338	0.4965529527
339	0.496197585
340	0.4959405793
341	0.4957669068
342	0.4951882298
343	0.4947830625
344	0.4943843594
345	0.4939910846
346	0.4937633085
347	0.4933533919
348	0.4929092438
349	0.4927007457
350	0.4924395229
351	0.4921414524
352	0.4918146766
353	0.4915382074
354	0.4912040284
355	0.4907805971
356	0.4904409936
357	0.4899960132
358	0.4896453335
359	0.489201084
360	0.4889389591
361	0.4884274859
362	0.4880834558
363	0.4877735956
364	0.4875148109
365	0.4871672183
366	0.4868014419
367	0.486386351
368	0.4860059658
369	0.4856419167
370	0.4852381862
371	0.4848778694
372	0.4846244177
373	0.4843142505
374	0.4839579751
375	0.4835848555
376	0.483307262
377	0.4828783525
378	0.4826078737
379	0.4821985064
380	0.4818122489
381	0.4814595423
382	0.4811199261
383	0.4806407931
384	0.4804936122
385	0.4801870352
386	0.4798837785
387	0.4795885029
388	0.4792368168
389	0.4788506756
390	0.478443009
391	0.4781298883
392	0.4777842212
393	0.4775608969
394	0.4771595708
395	0.4767612996
396	0.4763806545
397	0.4761476619
398	0.4757437284
399	0.4756197248
400	0.4753185948
401	0.4748551136
402	0.4745363468
403	0.474232481
404	0.4739858916
405	0.4736487474
406	0.4734309854
407	0.4731726835
408	0.4728097217
409	0.4722965451
410	0.472019143
411	0.4717949191
412	0.4716443667
413	0.4713574716
414	0.4711240567
415	0.4707383934
416	0.4703741859
417	0.4700310858
418	0.4698109612
419	0.4695949903
420	0.4692971259
421	0.4690862081
422	0.4688843042
423	0.4685345102
424	0.4683067554
425	0.4679434199
426	0.4676336979
427	0.4672630005
428	0.4670157202
429	0.4668141845
430	0.4664705635
431	0.4662491967
432	0.4659548498
433	0.4655347924
434	0.4652581264
435	0.4649990994
436	0.4647370627
437	0.4644206188
438	0.4641846729
439	0.4639266537
440	0.4636649506
441	0.4632703585
442	0.4628671788
443	0.4626056035
444	0.4622875824
445	0.4619783149
446	0.4616018884
447	0.4612978589
448	0.460989346
449	0.4607953588
450	0.4605080651
451	0.4601939718
452	0.4599202152
453	0.4596580721
454	0.4594127985
455	0.4591348399
456	0.4588049627
457	0.4585126507
458	0.4581572196
459	0.4578280048
460	0.457613624
461	0.457085443
462	0.4567963123
463	0.4564731211
464	0.4562501326
465	0.4560952412
466	0.455891107
467	0.4555489225
468	0.4551363705
469	0.4547698544
470	0.4545557767
471	0.454253418
472	0.4539189309
473	0.453486446
474	0.4532764947
475	0.4530047056
476	0.4528701386
477	0.452523928
478	0.4522853509
479	0.4520508161
480	0.451783049
481	0.4514012446
482	0.4511053293
483	0.4506852093
484	0.4503877504
485	0.4500963495
486	0.4498699527
487	0.4494986881
488	0.4490442547
489	0.4486923781
490	0.4484054817
491	0.4481137823
492	0.4479793654
493	0.4477441827
494	0.4474648453
495	0.4473402089
496	0.4470749403
497	0.4468827732
498	0.4465634447
499	0.4462717806
